time,open,high,low,close
2020-04-22T08:00:00+08:00,95.46,95.46,95.46,95.46
2020-04-23T08:00:00+08:00,98.96,98.96,98.96,98.96
2020-04-24T08:00:00+08:00,102.57,102.57,102.57,102.57
2020-04-27T08:00:00+08:00,106.68,106.68,106.68,106.68
2020-04-28T08:00:00+08:00,107.74,107.74,107.74,107.74
2020-04-29T08:00:00+08:00,108.56,108.56,108.56,108.56
2020-04-30T08:00:00+08:00,120.3,120.3,120.3,120.3
2020-05-01T08:00:00+08:00,117.23,117.23,117.23,117.23
2020-05-06T08:00:00+08:00,120.77,120.77,120.77,120.77
2020-05-07T08:00:00+08:00,122.83,122.83,122.83,122.83
2020-05-11T08:00:00+08:00,115.7,115.7,115.7,115.7
2020-05-12T08:00:00+08:00,113.72,113.72,113.72,113.72
2020-05-13T08:00:00+08:00,116.4,116.4,116.4,116.4
2020-05-14T08:00:00+08:00,121.84,121.84,121.84,121.84
2020-05-18T08:00:00+08:00,126.28,126.28,126.28,126.28
2020-05-19T08:00:00+08:00,127.77,127.77,127.77,127.77
2020-05-20T08:00:00+08:00,127.76,127.76,127.76,127.76
2020-05-21T08:00:00+08:00,125.46,125.46,125.46,125.46
2020-05-22T08:00:00+08:00,119.89,119.89,119.89,119.89
2020-05-25T08:00:00+08:00,117.47,117.47,117.47,117.47
2020-05-26T08:00:00+08:00,119.22,119.22,119.22,119.22
2020-05-27T08:00:00+08:00,118.11,118.11,118.11,118.11
2020-05-28T08:00:00+08:00,122.16,122.16,122.16,122.16
2020-05-29T08:00:00+08:00,126.58,126.58,126.58,126.58
2020-06-01T08:00:00+08:00,127.05,127.05,127.05,127.05
2020-06-03T08:00:00+08:00,128.56,128.56,128.56,128.56
2020-06-04T08:00:00+08:00,130.77,130.77,130.77,130.77
2020-06-05T08:00:00+08:00,132.39,132.39,132.39,132.39
2020-06-08T08:00:00+08:00,132.04,132.04,132.04,132.04
2020-06-09T08:00:00+08:00,132.18,132.18,132.18,132.18
2020-06-10T08:00:00+08:00,132.41,132.41,132.41,132.41
2020-06-11T08:00:00+08:00,133.46,133.46,133.46,133.46
2020-06-15T08:00:00+08:00,126.42,126.42,126.42,126.42
2020-06-16T08:00:00+08:00,126.67,126.67,126.67,126.67
2020-06-17T08:00:00+08:00,126.67,126.67,126.67,126.67
2020-06-18T08:00:00+08:00,127.48,127.48,127.48,127.48
2020-06-19T08:00:00+08:00,126.58,126.58,126.58,126.58
2020-06-22T08:00:00+08:00,125.02,125.02,125.02,125.02
2020-06-23T08:00:00+08:00,129.77,129.77,129.77,129.77
2020-06-24T08:00:00+08:00,129.91,129.91,129.91,129.91
2020-06-25T08:00:00+08:00,125.8,125.8,125.8,125.8
2020-06-26T08:00:00+08:00,125.03,125.03,125.03,125.03
2020-06-29T08:00:00+08:00,122.65,122.65,122.65,122.65
2020-06-30T08:00:00+08:00,123.61,123.61,123.61,123.61
2020-07-01T08:00:00+08:00,122.8,122.8,122.8,122.8
2020-07-03T08:00:00+08:00,123.27,123.27,123.27,123.27
2020-07-06T08:00:00+08:00,122.89,122.89,122.89,122.89
2020-07-07T08:00:00+08:00,128.24,128.24,128.24,128.24
2020-07-08T08:00:00+08:00,127.18,127.18,127.18,127.18
2020-07-09T08:00:00+08:00,130.99,130.99,130.99,130.99
2020-07-10T08:00:00+08:00,128.99,128.99,128.99,128.99
2020-07-13T08:00:00+08:00,129.43,129.43,129.43,129.43
2020-07-14T08:00:00+08:00,128.74,128.74,128.74,128.74
2020-07-15T08:00:00+08:00,129.11,129.11,129.11,129.11
2020-07-16T08:00:00+08:00,128.61,128.61,128.61,128.61
2020-07-20T08:00:00+08:00,128.67,128.67,128.67,128.67
2020-07-21T08:00:00+08:00,127.66,127.66,127.66,127.66
2020-07-22T08:00:00+08:00,130.87,130.87,130.87,130.87
2020-07-23T08:00:00+08:00,133.84,133.84,133.84,133.84
2020-07-24T08:00:00+08:00,135.28,135.28,135.28,135.28
2020-07-27T08:00:00+08:00,140.93,140.93,140.93,140.93
2020-07-28T08:00:00+08:00,151.96,151.96,151.96,151.96
2020-07-29T08:00:00+08:00,152.04,152.04,152.04,152.04
2020-07-30T08:00:00+08:00,153.96,153.96,153.96,153.96
2020-07-31T08:00:00+08:00,155.4,155.4,155.4,155.4
2020-08-03T08:00:00+08:00,158.07,158.07,158.07,158.07
2020-08-04T08:00:00+08:00,162.28,162.28,162.28,162.28
2020-08-05T08:00:00+08:00,162.25,162.25,162.25,162.25
2020-08-06T08:00:00+08:00,168.45,168.45,168.45,168.45
2020-08-07T08:00:00+08:00,168.45,168.45,168.45,168.45
2020-08-10T08:00:00+08:00,168.58,168.58,168.58,168.58
2020-08-11T08:00:00+08:00,171.66,171.66,171.66,171.66
2020-08-12T08:00:00+08:00,164.53,164.53,164.53,164.53
2020-08-13T08:00:00+08:00,168.5,168.5,168.5,168.5
2020-08-14T08:00:00+08:00,173.49,173.49,173.49,173.49
2020-08-17T08:00:00+08:00,176.91,176.91,176.91,176.91
2020-08-18T08:00:00+08:00,180.2,180.2,180.2,180.2
2020-08-19T08:00:00+08:00,176.21,176.21,176.21,176.21
2020-08-20T08:00:00+08:00,171.28,171.28,171.28,171.28
2020-08-24T08:00:00+08:00,169.99,169.99,169.99,169.99
2020-08-25T08:00:00+08:00,172.76,172.76,172.76,172.76
2020-08-26T08:00:00+08:00,165.53,165.53,165.53,165.53
2020-08-27T08:00:00+08:00,167.31,167.31,167.31,167.31
2020-08-28T08:00:00+08:00,164.07,164.07,164.07,164.07
2020-08-31T08:00:00+08:00,173.19,173.19,173.19,173.19
2020-09-01T08:00:00+08:00,172.9529,172.9529,172.9529,172.9529
2020-09-02T08:00:00+08:00,179.393,179.393,179.393,179.393
